leto;krog;od_drzave;za_drzavo;skupaj_tocke;glasovanje_tocke;zirija_tocke
2023;finale;Albanija;Švedska;22;10;12
2023;finale;Albanija;Finska;6;6;0
2023;finale;Albanija;Izrael;11;5;6
2023;finale;Albanija;Italija;14;12;2
2023;finale;Albanija;Norveška;4;4;0
2023;finale;Albanija;Belgija;5;0;5
2023;finale;Albanija;Estonija;8;0;8
2023;finale;Albanija;Avstralija;3;0;3
2023;finale;Albanija;Ciper;11;7;4
2023;finale;Albanija;Hrvaška;8;8;0
2023;finale;Albanija;Armenija;10;0;10
2023;finale;Albanija;Francija;3;3;0
2023;finale;Albanija;Španija;1;0;1
2023;finale;Albanija;Poljska;1;1;0
2023;finale;Albanija;Švica;7;0;7
2023;finale;Albanija;Slovenija;2;2;0
2023;finale;Armenija;Švedska;17;7;10
2023;finale;Armenija;Finska;14;6;8
2023;finale;Armenija;Izrael;24;12;12
2023;finale;Armenija;Italija;3;3;0
2023;finale;Armenija;Norveška;8;4;4
2023;finale;Armenija;Ukrajina;4;1;3
2023;finale;Armenija;Ciper;13;8;5
2023;finale;Armenija;Avstrija;2;0;2
2023;finale;Armenija;Francija;17;10;7
2023;finale;Armenija;Španija;6;0;6
2023;finale;Armenija;Poljska;6;5;1
2023;finale;Armenija;Švica;2;2;0
2023;finale;Avstralija;Švedska;17;10;7
2023;finale;Avstralija;Finska;17;12;5
2023;finale;Avstralija;Izrael;5;5;0
2023;finale;Avstralija;Italija;1;0;1
2023;finale;Avstralija;Norveška;6;6;0
2023;finale;Avstralija;Belgija;15;3;12
2023;finale;Avstralija;Estonija;8;0;8
2023;finale;Avstralija;Litva;10;0;10
2023;finale;Avstralija;Ciper;11;8;3
2023;finale;Avstralija;Hrvaška;4;4;0
2023;finale;Avstralija;Avstrija;13;7;6
2023;finale;Avstralija;Francija;2;2;0
2023;finale;Avstralija;Španija;4;0;4
2023;finale;Avstralija;Slovenija;1;1;0
2023;finale;Avstralija;Portugalska;2;0;2
2023;finale;Avstrija;Švedska;14;4;10
2023;finale;Avstrija;Finska;20;12;8
2023;finale;Avstrija;Izrael;1;1;0
2023;finale;Avstrija;Italija;20;8;12
2023;finale;Avstrija;Norveška;7;7;0
2023;finale;Avstrija;Ukrajina;5;5;0
2023;finale;Avstrija;Belgija;3;0;3
