leto;krog;od_drzave;za_drzavo;skupaj_tocke;glasovanje_tocke;zirija_tocke
1999;finale;Avstrija;Švedska;6;;
1999;finale;Avstrija;Islandija;2;;
1999;finale;Avstrija;Nemčija;10;;
1999;finale;Avstrija;Hrvaška;8;;
1999;finale;Avstrija;Izrael;1;;
1999;finale;Avstrija;Estonija;3;;
1999;finale;Avstrija;Bosna in Hercegovina;12;;
1999;finale;Avstrija;Danska;5;;
1999;finale;Avstrija;Nizozemska;4;;
1999;finale;Avstrija;Malta;7;;
1999;finale;Belgija;Švedska;7;;
1999;finale;Belgija;Islandija;8;;
1999;finale;Belgija;Nemčija;10;;
1999;finale;Belgija;Hrvaška;5;;
1999;finale;Belgija;Izrael;3;;
1999;finale;Belgija;Estonija;4;;
1999;finale;Belgija;Bosna in Hercegovina;1;;
1999;finale;Belgija;Nizozemska;12;;
1999;finale;Belgija;Avstrija;6;;
1999;finale;Belgija;Slovenija;2;;
1999;finale;Bosna in Hercegovina;Švedska;12;;
1999;finale;Bosna in Hercegovina;Nemčija;10;;
1999;finale;Bosna in Hercegovina;Hrvaška;8;;
1999;finale;Bosna in Hercegovina;Izrael;2;;
1999;finale;Bosna in Hercegovina;Estonija;3;;
1999;finale;Bosna in Hercegovina;Nizozemska;4;;
1999;finale;Bosna in Hercegovina;Slovenija;5;;
1999;finale;Bosna in Hercegovina;Velika Britanija;1;;
1999;finale;Bosna in Hercegovina;Malta;7;;
1999;finale;Bosna in Hercegovina;Poljska;6;;
1999;finale;Hrvaška;Nemčija;3;;
1999;finale;Hrvaška;Izrael;8;;
1999;finale;Hrvaška;Bosna in Hercegovina;10;;
1999;finale;Hrvaška;Slovenija;12;;
1999;finale;Hrvaška;Belgija;4;;
1999;finale;Hrvaška;Velika Britanija;5;;
1999;finale;Hrvaška;Norveška;7;;
1999;finale;Hrvaška;Malta;6;;
1999;finale;Hrvaška;Litva;2;;
1999;finale;Hrvaška;Španija;1;;
1999;finale;Ciper;Švedska;6;;
1999;finale;Ciper;Islandija;12;;
1999;finale;Ciper;Hrvaška;2;;
1999;finale;Ciper;Izrael;10;;
1999;finale;Ciper;Danska;8;;
1999;finale;Ciper;Avstrija;1;;
1999;finale;Ciper;Velika Britanija;4;;
1999;finale;Ciper;Norveška;7;;
1999;finale;Ciper;Malta;3;;
1999;finale;Ciper;Litva;5;;
1999;finale;Danska;Švedska;10;;
1999;finale;Danska;Islandija;12;;
1999;finale;Danska;Nemčija;5;;
1999;finale;Danska;Izrael;2;;
1999;finale;Danska;Estonija;4;;
1999;finale;Danska;Bosna in Hercegovina;8;;
1999;finale;Danska;Nizozemska;7;;
1999;finale;Danska;Avstrija;3;;
1999;finale;Danska;Velika Britanija;1;;
1999;finale;Danska;Norveška;6;;
1999;finale;Estonija;Švedska;12;;
1999;finale;Estonija;Islandija;10;;
1999;finale;Estonija;Nemčija;7;;
1999;finale;Estonija;Hrvaška;3;;
1999;finale;Estonija;Izrael;4;;
1999;finale;Estonija;Danska;6;;
1999;finale;Estonija;Avstrija;8;;
1999;finale;Estonija;Belgija;5;;
1999;finale;Estonija;Malta;1;;
1999;finale;Estonija;Litva;2;;
1999;finale;Francija;Švedska;3;;
1999;finale;Francija;Nemčija;8;;
1999;finale;Francija;Hrvaška;7;;
1999;finale;Francija;Izrael;10;;
1999;finale;Francija;Estonija;4;;
1999;finale;Francija;Bosna in Hercegovina;6;;
1999;finale;Francija;Slovenija;1;;
1999;finale;Francija;Belgija;2;;
1999;finale;Francija;Turčija;5;;
1999;finale;Francija;Portugalska;12;;
1999;finale;Nemčija;Švedska;2;;
1999;finale;Nemčija;Islandija;3;;
