leto;drzava;tekmovalec;pesem
1999;Švedska;Charlotte Nilsson;Take Me To Your Heaven
1999;Islandija;Selma Björnsdóttir;All Out Of Luck
1999;Nemčija;Sürpriz;Reise Nach Jerusalem - Kudüs'e Seyahat
1999;Hrvaška;Doris Dragović;Marija Magdalena
1999;Izrael;Eden;Yom Huledeth
1999;Estonija;Evelin Samuel and Camille;Diamond Of Night
1999;Bosna in Hercegovina;Dino and Beatrice;Putnici
1999;Danska;Trine Jepsen & Michael Teschl;This Time (i Mean It)
1999;Nizozemska;Marlayne;One Good Reason
1999;Avstrija;Bobbie Singer;Reflection
1999;Slovenija;Darja Svajger;For A Thousand Years
1999;Belgija;Venessa Chinitor;Like The Wind
1999;Velika Britanija;Precious;Say It Again
1999;Norveška;Stig André Van Eijk;Living My Life Without You
1999;Malta;Times 3;Believe 'n Peace
1999;Turčija;Tuba Önal & Grup Mystik;Dön Artik
1999;Irska;The Mullan's;When You Need Me
1999;Poljska;Mietek Szczesniak;Przytul Mnie Mocno
1999;Francija;Nayah;Je Veux Donner Ma Voix
1999;Litva;Aiste Smilgeviciute;Strazdas
1999;Portugalska;Rui Bandeira;Como Tudo Começou
1999;Ciper;Marlain Angelidou;Tha'nai Erotas
1999;Španija;Lydia;No Quiero Escuchar
2015;Švedska;Måns Zelmerlöw;Heroes
2015;Rusija;Polina Gagarina;A Million Voices
2015;Italija;Il Volo;Grande Amore
2015;Belgija;Loïc Nottet;Rhythm Inside
2015;Avstralija;Guy Sebastian;Tonight Again
2015;Latvija;Aminata Savadogo;Love Injected
2015;Estonija;Elina Born & Stig Rästa;Goodbye to Yesterday
2015;Norveška;Mørland & Debrah Scarlett;A Monster Like Me
2015;Izrael;Nadav Guedj;Golden Boy
2015;Srbija;Bojana Stamenov;Beauty Never Lies
2015;Gruzija;Nina Sublatti;Warrior
2015;Azerbajdžan;Elnur Hüseynov;Hour Of The Wolf
2015;Črna gora;Knez;Adio
2015;Slovenija;Maraaya;Here for You
2015;Romunija;Voltaj;De La Capăt / All Over Again
2015;Armenija;Genealogy;Face The Shadow
2015;Albanija;Elhaida Dani;I'm Alive
2015;Litva;Monika & Vaidas;This Time
2015;Grčija;Maria Elena Kyriakou;One Last Breath
2015;Madžarska;Boggie;Wars For Nothing
2015;Španija;Edurne;Amanecer
2015;Ciper;John Karayiannis;One Thing I Should Have Done
2015;Poljska;Monika Kuszyńska;In The Name Of Love
2015;Velika Britanija;Electro Velvet;Still in Love with You
2015;Francija;Lisa Angell;N’oubliez pas
2015;Avstrija;The Makemakes;I Am Yours
2015;Nemčija;Ann Sophie;Black Smoke
2015;Moldavija;Eduard Romanyuta;I Want Your Love
2015;Malta;Amber;Warrior
2015;Belorusija;Uzari & Maimuna;Time
2015;Irska;Molly Sterling;Playing With Numbers
2015;Danska;Anti Social Media;The Way You Are
2015;Nizozemska;Trijntje Oosterhuis;Walk Along
2015;Češka;Marta Jandová & Václav Noid Bárta;Hope Never Dies
2015;Severna Makedonija;Daniel Kajmakoski;Autumn Leaves
2015;Portugalska;Leonor Andrade;Há um mar que nos Separa
2015;Islandija;María Ólafsdóttir;Unbroken
2015;Finska;Pertti Kurikan Nimipäivät;Aina Mun Pitää
2015;San Marino;Michele Perniola & Anita Simoncini;Chain Of Lights
2015;Švica;Mélanie René;Time To Shine
2023;Švedska;Loreen;Tattoo
2023;Finska;Käärijä;Cha Cha Cha
2023;Izrael;Noa Kirel;Unicorn
2023;Italija;Marco Mengoni;Due vite
2023;Norveška;Alessandra;Queen of Kings
2023;Ukrajina;Tvorchi;Heart of Steel
2023;Belgija;Gustaph;Because of You
2023;Estonija;Alika;Bridges
2023;Avstralija;Voyager;Promise
2023;Češka;Vesna;My Sister's Crown
2023;Litva;Monika Linkytė;Stay
2023;Ciper;Andrew Lambrou;Break a Broken Heart
2023;Hrvaška;Let 3;Mama ŠČ!
2023;Armenija;Brunette;Future Lover
2023;Avstrija;Teya & Salena;Who The Hell Is Edgar?
2023;Francija;La Zarra;Évidemment
2023;Španija;Blanca Paloma;Eaea
2023;Moldavija;Pasha Parfeni;Soarele și Luna
2023;Poljska;Blanka;Solo
2023;Švica;Remo Forrer;Watergun
2023;Slovenija;Joker Out;Carpe Diem
2023;Albanija;Albina & Familja Kelmendi;Duje
2023;Portugalska;Mimicat;Ai Coração
2023;Srbija;Luke Black;Samo mi se spava
2023;Velika Britanija;Mae Muller;I Wrote A Song
2023;Nemčija;Lord Of The Lost;Blood & Glitter
2023;Islandija;Diljá;Power
2023;Latvija;Sudden Lights;Aijā
2023;Gruzija;Iru;Echo
2023;Grčija;Victor Vernicos;What They Say
2023;Irska;Wild Youth;We Are One
2023;Nizozemska;Mia Nicolai & Dion Cooper;Burning Daylight
2023;Danska;Reiley;Breaking My Heart
2023;Azerbajdžan;TuralTuranX;Tell Me More
2023;Malta;The Busker;Dance (Our Own Party)
2023;Romunija;Theodor Andrei;D.G.T. (Off and On)
2023;San Marino;Piqued Jacks;Like An Animal
